DEA_CODE;DEA_NOM_COMMERCE;ADRESSE_LIVRAISON;DEA_CODE_POSTAL_LIVRAISON;DEA_COMMUNE_LIVRAISON;INSEE_LIVRAISON;X_GEOCODAGE;Y_GEOCODAGE;TCO_LIBELLE
510001;  ;11   R. Mozart;92230;Gennevilliers;92036;596217,664882;2436736,790059;tabac librairie
510002;Tabac Loto Cadeaux;81   Bd Voltaire;92600;Asnières-sur-Seine;92004;596788,607000;2435244,853000;tabac
510003;Tabac Librairie Jeu;60   Av. Jean Moulin;92390;Villeneuve-la-Garenne;92078;599590,798209;2438033,160358;tabac presse
510004;Le Boyard;2   Av. Michelet;93400;Saint-Ouen;93070;600565,382000;2435089,567000;café tabac
510006;Le Rapide;31   R. d'Anjou;92600;Asnières-sur-Seine;92004;596061,500000;2434132,900000;café tabac
510007;L‘ancienne Poste;45   R. Jules Larose;92230;Gennevilliers;92036;597408,747008;2436953,287592;café tabac
510008;Le Viking;2   R. Alexandre;92230;Gennevilliers;92036;598834,602882;2436045,085150;café tabac
510009;Le Chaldée;169   Rue du docteur Bauer;93400;Saint-Ouen;93070;600869,372377;2433846,817289;café tabac
510010;Le Balto;66   R. de la Sablière;92600;Asnières-sur-Seine;92004;595009,246825;2434204,392878;café tabac
510011;Le Tom Tip;117   R. Victor Hugo;92300;Levallois-Perret;92044;596896,892858;2433353,249285;tabac loto
510012;Les Rosiers;56   R. des Rosiers;93400;Saint-Ouen;93070;600019,767341;2434145,457333;tabac loto
510013;Café De La Tour;4   Av.Laurent Cély;92600;Asnières-sur-Seine;92004;597872,666312;2435442,982877;café tabac
510014;Le Fontenoy;16   R. Louise Michel;92300;Levallois-Perret;92044;596304,903000;2432196,249000;café tabac
510015;Le Maryland;7   Bd Jean Jaurès;92110;Clichy;92024;597965,074480;2433220,541297;café tabac
510016;Tabac Du Marché;64   rue de Neuilly;92110;Clichy;92024;597506,696588;2433759,647441;café tabac
510017;Tabac la Chope;27   Av. de la Marne;92600;Asnières-sur-Seine;92004;595950,620000;2434211,330000;café tabac
510018;Le Petit Centre;52   R. Émile Zola;92600;Asnières-sur-Seine;92004;596174,377691;2436231,555506;café tabac
510019;Cyber Phone;2   R. Mortinat;92600;Asnières-sur-Seine;92004;595978,350488;2435625,284396;point phone
510020;Tabac Loto Presse;15   Pl. le Vau;92600;Asnières-sur-Seine;92004;596080,361592;2436445,522955;tabac librairie
510021;Le Bon Accueil;37   R. Madame de Sanzillon;92110;Clichy;92024;598601,600000;2433921,600000;café
510023; Magpresse;48   R. de Paris;93800;Épinay-sur-Seine;93031;598088,708154;2439550,801656;librairie
510025; Le Cygne d'Enghien;132   Av. Joffre;93800;Épinay-sur-Seine;93031;596972,291115;2440395,960865;tabac loto
510027; Tabac des Preles;65   Av.de la Marne ;93800;Épinay-sur-Seine;93031;599276,536246;2439668,796510;tabac presse
510028; Le Week-End;7   Av. Gallieni;93800;Épinay-sur-Seine;93031;597339,050137;2440809,604208;café tabac
510029;Le Flachat;35   R. de Chanzy;92600;Asnières-sur-Seine;92004;595387,415612;2434522,692437;café tabac
510030; Le Maryland;62   R. du Dr Bauer;93400;Saint-Ouen;93070;600229,483552;2434487,171243;café tabac
